Info,Version=1.0.0,Template=fx_category_template_EBAY_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Game Name,*C:Platform,C:Publisher,C:Genre,C:Rating,C:Region Code,C:Release Year,C:MPN,C:Unit Quantity,C:Unit Type,C:Video Game Series,C:Features,C:Country of Origin,C:Sub-Genre,C:California Prop 65 Warning,C:Manufacturer Warranty,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,ZA_6IV_NON_SHINY_TERRAKION,139973,,6IV Terrakion Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/TERRAKION.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>TERRAKION 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_YVELTAL,139973,,6IV Yveltal Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/YVELTAL.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>YVELTAL 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_ABRA,139973,,6IV Abra Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/ABRA.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>ABRA 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_KELDEO,139973,,6IV Keldeo Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/KELDEO.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>KELDEO 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_COBALION,139973,,6IV Cobalion Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/COBALION.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>COBALION 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_PUMPKABOO,139973,,6IV Pumpkaboo Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/PUMPKABOO.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>PUMPKABOO 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_SLOWPOKE,139973,,6IV Slowpoke Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/SLOWPOKE.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SLOWPOKE 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_XERNEAS,139973,,6IV Xerneas Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/XERNEAS.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>XERNEAS 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_GROUDON,139973,,6IV Groudon Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/GROUDON.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>GROUDON 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_NON_SHINY_GOGOAT,139973,,6IV Gogoat Pokemon Legends Z-A (Non-Shiny) Custom 6IV - FAST DELIVERY,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output_non_shiny/GOGOAT.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>GOGOAT 6IV (Non-Shiny) + FREE MASTERBALL GIFT</h1><p>Ensure to message me here on eBay your set preferences and your hours of availability so we can arrange the trade session!</p><h3>Before You Buy</h3><ul><li>You must have access to Nintendo Online Subscription</li></ul><h3>Contact information</h3><p>Please contact me via eBay messages or through discord: <strong>takemidelivery</strong></p><h3>How to trade in Pokémon Legends: Z-A</h3><ol><li>Go in-game, Press X, Select <strong>Link Play</strong></li><li>Select <strong>Link Trade</strong>, Select <strong>Faraway Players</strong></li><li>Enter the code we will provide.</li><li>Press &quot;+&quot; and select &quot;Begin Searching&quot;.</li><li>Trade me any pokémon and I will trade you what you have purchased!</li></ol><p><strong>Note:</strong> You are purchasing a digital product in the Pokémon Legends: Z-A game. Nothing physical will be delivered to you! Please understand this before purchasing.</p><hr><p>✅ 100% Legit for Battle &amp; Trade<br>✅ Customizable Moves, Nature, Ball, and More<br>✅ Fast &amp; Secure</p>",FixedPrice,GTC,2.00,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
